Reactant,product,5p dft,5p catscore,accuracy,10p dft,10p catscore,accuracy,20p dft,20p catscore,accuracy,50p dft,50p catscore,accuracy,100p dft,100p catscore,accuracy,target dft,f_theta,accuracy,1layer,1layer catscore,accuracy,2layer,2layer catscore,accuracy,3layer,3layer catscore,accuracy,4layer,4layer catscore,accuracy,5layer,5layer catscore,accuracy,base dft,base catscore,accuracy,large dft,large catscore,accuracy
C=C(c1ccccc1)C(C)(C)C,C[C@H](c1ccccc1)C(C)(C)C,nofit,0.9161642706,1,nofit,0.9122770224,1,nofit,0.9444122695,1,nofit,0.9621833608,1,nofit,0.5386400316,1,nofit,0.9731457684,1,nofit,0.8565375049,1,nofit,0.9731457684,1,nofit,0.8565375049,1,nofit,0.8565375049,1,nofit,0.9377973929,1,nofit,0.9731457684,1,0.5,0.3400428586,0
CCc1ccc2c(c1)C(=O)C(NC(C)=O)=C2,CCc1ccc2c(c1)C(=O)[C@@H](NC(C)=O)C2,not found,0.8408938211,1,not found,0.9858183854,1,not found,0.987060978,1,not found,0.9822503804,1,not found,0.9758723798,1,not found,0.9822502652,1,not found,0.9822502652,1,not found,0.8917233372,1,not found,0.9822503804,1,not found,0.9815621529,1,not found,0.9822503804,1,not found,0.9822503804,1,not found,0.7933728771,1
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,nofit,0.9448047827,1,nofit,0.9829490322,1,nofit,0.9745550145,1,nofit,0.9448047827,1,nofit,0.9448047827,1,nofit,0.9448047827,1,nofit,0.9448049974,1,nofit,0.9448047827,1,nofit,0.9448047827,1,nofit,0.9448047827,1,nofit,0.9448047827,1,nofit,0.9448047827,1,nofit,0.9829490322,1
COC(=O)/C(C)=C/c1ccccc1,COC(=O)[C@H](C)Cc1ccccc1,nofit,0.0232019367,0,nofit,0.0232019367,0,nofit,0.6287404024,1,nofit,0.1537081845,0,nofit,0.9643890513,1,nofit,0.7982335814,1,nofit,0.5683115707,1,nofit,0.6287404024,1,nofit,0.7788035799,1,nofit,0.9643890513,1,nofit,0.6287404024,1,nofit,0.9643890513,1,nofit,0.96678991,1
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,nofit,0.1520167593,0,nofit,0.6491947812,1,nofit,0.6491947812,1,nofit,0.1520167593,0,nofit,0.4746700693,0,nofit,0.6491943362,1,nofit,0.9733742041,1,nofit,0.5980045017,1,nofit,0.64995109,1,nofit,0.6491947812,1,nofit,0.6491947812,1,nofit,0.9733743165,1,nofit,0.4746700693,0
C=C(c1ccccc1)c1cc(F)ccc1O,C[C@@H](c1ccccc1)c1cc(F)ccc1O,not found,0.9798271431,1,not found,0.198864566,0,not found,0.198864566,0,not found,0.9798271431,1,not found,0.9830708852,1,not found,0.9830708852,1,not found,0.9830708852,1,not found,0.9830708852,1,not found,0.9830708852,1,not found,0.9830708852,1,not found,0.9830708852,1,not found,0.9830708852,1,not found,0.9830708852,1
CC(=O)NC1=C(C)CCCC1,CC(=O)N[C@H]1CCCC[C@H]1C,nofit,0.714873142,1,nofit,0.793292845,1,nofit,0.714873142,1,nofit,0.714873142,1,nofit,0.8634053362,1,nofit,0.7556582466,1,nofit,0.8297394643,1,nofit,0.8578797595,1,nofit,0.6697481222,1,nofit,0.6697481222,1,nofit,0.877267071,1,nofit,0.8612839926,1,nofit,0.9090606182,1
C/C(=C\C(=O)n1cccn1)c1ccccc1,C[C@H](CC(=O)n1cccn1)c1ccccc1,nofit,0.9397573627,1,nofit,0.9162100807,1,nofit,0.9365717776,1,nofit,0.9058614258,1,nofit,0.9376310999,1,nofit,0.8761336905,1,nofit,0.927056255,1,0.5,0.9451000237,1,nofit,0.9159678474,1,nofit,0.9150976674,1,nofit,0.9270560478,1,0.5,0.9270560478,1,nofit,0.9087303982,1
CCOC(=O)/C=C(\C)CCc1ccccc1,CCOC(=O)C[C@@H](C)CCc1ccccc1,0.9441555734,0.9324242613,1,0.9327768797,0.3834635772,0,0.9370343952,0.1773089025,0,0.9744255375,0.7026293633,1,0.7311601826,0.8641611046,1,0.9403582835,0.944635938,1,0.9455094769,0.9407207247,1,0.9144337176,0.4404406096,0,0.8268295906,0.4404406096,0,0.8527249229,0.8641611046,1,0.9184073459,0.8641611046,1,0.9184073459,0.2175271188,0,0.8372097136,0.9790096539,1
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,nofit,0.1520167593,0,nofit,0.6491947812,1,nofit,0.6491947812,1,nofit,0.1520167593,0,nofit,0.4746700693,0,nofit,0.944409089,1,nofit,0.9733742041,1,nofit,0.5980045017,1,nofit,0.64995109,1,nofit,0.6491947812,1,nofit,0.6491947812,1,nofit,0.9733743165,1,nofit,0.4746700693,0
