Reactant,product,5p dft,5p catscore,accuracy,10p dft,10p catscore,accuracy,20p dft,20p catscore,accuracy,50p dft,50p catscore,accuracy,100p dft,100p catscore,accuracy,1layer,1layer catscore,accuracy,2layer,2layer catscore,accuracy,3layer,3layer catscore,accuracy,4layer,4layer catscore,accuracy,5layer,5layer catscore,accuracy,base dft,base catscore,accuracy,large dft,large catscore,accuracy,target dft,f_theta,accuracy
COC(=O)/C=C(\NC(C)=O)c1ccc(OC)cc1,COC(=O)C[C@@H](NC(C)=O)c1ccc(OC)cc1,not_found,0.03998140527,0,not_found,0.9963703021,1,not_found,0.2576420334,0,not_found,0.03998140527,0,not_found,3.83E-11,0.00E+00,not_found,0.03998124322,0,not_found,0.9983715147,1,not_found,0.9966209063,1,not_found,0.9983715147,1,not_found,0.8388953122,1,not_found,0.4743052358,0,not_found,0.9961031532,1,not_found,0.9961031532,1
C=C(CCCC)B1OC(C)(C)C(C)(C)O1,CCCC[C@@H](C)B1OC(C)(C)C(C)(C)O1,not_found,0.4578209454,0,not_found,0.4416672471,0,not_found,0.429725569,0,not_found,0.6201470383,1,not_found,0.9354679432,1,not_found,0.9354680478,1,not_found,0.9354679432,1,not_found,0.9354679432,1,not_found,0.9354679432,1,not_found,0.9354679432,1,not_found,0.4196959077,0,not_found,0.9354679432,1,not_found,0.9354679432,1
COC(=O)/C(=C\c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,0.7953808588,0.823647369,1,0.9874351965,0.9834797202,1,0.006869400801,0.9269758805,1,0.006869400801,0.823647369,1,0.8272029557,0.5116649253,1,0.5989129839,0.516366127,1,0.5989129839,0.5143986271,1,0.5989129839,0.5143986271,1,0.5989129839,0.4833081153,0,0.5989129839,0.5143986271,1,0.9462427289,0.5143986271,1,0.5989129839,0.516366127,1,0.9995009125,0.1408225364,0
O=C(O)/C(=C/c1ccccc1)CO,O=C(O)[C@H](CO)Cc1ccccc1,0.6255143651,0.6479883673,1,0.104873991,0.2134880727,0,0.9992749308,0.466060718,0,0.9688569824,0.6479883673,1,0.9688569824,0.8448666842,1,0.9688569824,0.8448666842,1,0.9688569824,0.8448666842,1,0.9688569824,0.8448666842,1,0.9688569824,0.8448666842,1,0.9688569824,0.8448666842,1,0.9688569824,0.8448666842,1,0.9688569824,0.8448666842,1,0.9688569824,0.8448665079,1
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,0.9423860057,0.1102020997,0,0.9520269211,0.8483990183,1,0.9504024458,0.02958891553,0,0.9567971668,0.8446399401,1,0.957802827,0.9555786446,1,0.957802827,0.9555785342,1,0.957802827,0.9483469837,1,0.957802827,0.9555786446,1,0.957802827,0.8687205401,1,0.957802827,0.8573561322,1,0.9581766944,0.8687205401,1,0.9329560738,0.03295747001,0,0.9565343505,0.9542255096,1
C=C(/C=C\C)/C=C(\C)c1ccccc1,C=C(/C=C\C)C[C@@H](C)c1ccccc1,0.9049363589,0.4057086232,0,0.001531668085,0.1494490315,0,0.7959665575,0.9457145735,1,0.9826295126,0.9306687854,1,0.7284903607,0.4411188608,0,0.6632167698,0.9744195863,1,0.7284903607,0.4411188608,0,0.9897440155,0.9523553226,1,0.9897440155,0.4411188608,0,0.7284903607,0.4411188608,0,0.9826295126,0.9744196988,1,0.001531668085,0.9488858708,1,0.9897440155,0.9523552126,1
C=C(c1ccccc1)C(C)(C)C,C[C@H](c1ccccc1)C(C)(C)C,0.9019733328,0.9161642706,1,0.8398119895,0.9122770224,1,0.968598686,0.9444122695,1,0.968598686,0.9621833608,1,0.8635456402,0.5386400316,1,0.9443413502,0.8565375049,1,0.9443413502,0.9731457684,1,0.9443413502,0.8565375049,1,0.9443413502,0.8565375049,1,0.9443413502,0.9377973929,1,0.960819966,0.9731457684,1,0.9177445355,0.3400428586,0,0.960819966,0.9731457684,1
CCc1ccc2c(c1)C(=O)C(NC(C)=O)=C2,CCc1ccc2c(c1)C(=O)[C@@H](NC(C)=O)C2,not_found,0.8408938211,1,not_found,0.9858183854,1,not_found,0.987060978,1,not_found,0.9822503804,1,not_found,0.9758723798,1,not_found,0.9822502652,1,not_found,0.8917233372,1,not_found,0.9822503804,1,not_found,0.9815621529,1,not_found,0.9822503804,1,not_found,0.9822503804,1,not_found,0.7933728771,1,not_found,0.9822502652,1
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,not_found,0.9448047827,1,not_found,0.9829490322,1,not_found,0.9745550145,1,not_found,0.9448047827,1,not_found,0.9448047827,1,not_found,0.9448049974,1,not_found,0.9448047827,1,not_found,0.9448047827,1,not_found,0.9448047827,1,not_found,0.9448047827,1,not_found,0.9448047827,1,not_found,0.9829490322,1,not_found,0.9448047827,1
COC(=O)/C(C)=C/c1ccccc1,COC(=O)[C@H](C)Cc1ccccc1,0.7285263293,0.0232019367,0,0.3234021579,0.0232019367,0,0.9415895449,0.6287404024,1,0.7884762098,0.1537081845,0,0.9696341015,0.9643890513,1,0.9696341015,0.5683115707,1,0.8020787644,0.6287404024,1,0.8020787644,0.7788035799,1,0.9017574232,0.9643890513,1,0.7884762098,0.6287404024,1,0.9696341015,0.9643890513,1,0.9576585624,0.96678991,1,0.5658277906,0.7982335814,1
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,0.978594116,0.1520167593,0,0.9686395202,0.6491947812,1,0.9300672035,0.6491947812,1,0.9584269029,0.1520167593,0,0.9385378627,0.4746700693,0,0.9491555277,0.9733742041,1,0.9541778788,0.5980045017,1,0.9357792585,0.64995109,1,0.9686395202,0.6491947812,1,0.9686395202,0.6491947812,1,0.9491555277,0.9733743165,1,0.9385378627,0.4746700693,0,0.9686395202,0.6491943362,1
C=C(c1ccccc1)c1cc(F)ccc1O,C[C@@H](c1ccccc1)c1cc(F)ccc1O,not_found,0.9798271431,1,not_found,0.198864566,0,not_found,0.198864566,0,not_found,0.9798271431,1,not_found,0.9830708852,1,not_found,0.9830708852,1,not_found,0.9830708852,1,not_found,0.9830708852,1,not_found,0.9830708852,1,not_found,0.9830708852,1,not_found,0.9830708852,1,not_found,0.9830708852,1,not_found,0.9830708852,1
