Reactant,product,5p dft,5p catscore,accuracy,10p dft,10p catscore,accuracy,20p dft,20p catscore,accuracy,50p dft,50p catscore,accuracy,100p dft,100p catscore,accuracy,target dft,f_theta,accuracy,1layer,1layer catscore,accuracy,2layer,2layer catscore,accuracy,3layer,3layer catscore,accuracy,4layer,4layer catscore,accuracy,5layer,5layer catscore,accuracy,base dft,base catscore,accuracy,large dft,large catscore,accuracy
COc1ccc(/C=C(\C)C(C)=O)cc1,COc1ccc(C[C@H](C)C(C)=O)cc1,0.9943916857,0.9003626878,1,0.5336253892,0.9842386541,1,0.9888620033,0.9800692723,1,0.7736055298,0.7167771336,1,0.9886115359,0.9713143732,1,0.8493836682,0.9667086943,1,0.9573698679,0.9632824993,1,0.9748333581,0.9667086943,1,0.9748333581,0.9713143732,1,0.9549189073,0.9713143732,1,0.9748333581,0.9713143732,1,0.9748333581,0.9713143732,1,0.9859987921,0.9793623788,1
C/C(=C\c1ccccc1)C(=O)OC(C)C,CC(C)OC(=O)[C@H](C)Cc1ccccc1,0.9754994761,0.321881791,0,0.5125854792,0.007857331521,0,0.8837282076,0.4250939959,0,0.995997325,0.4060071888,0,0.9990891174,0.0424241494,0,0.8907161232,0.7414232001,1,0.993833897,0.988329176,1,0.9035588834,0.884115607,1,0.9035588834,0.988329176,1,0.8837282076,0.9889087058,1,0.8837282076,0.9889087058,1,0.8837282076,0.9889087058,1,0.9035588834,0.01258490131,0
C=C(C(=O)O)c1ccc2cc(OC)ccc2c1,COc1ccc2cc([C@@H](C)C(=O)O)ccc2c1,0.9905799774,0.02990262478,0,0.9998297716,0.04047074263,0,0.9965655827,0.2206881442,0,0.9975939099,0.1300268248,0,0.9625279707,0.9770985346,1,0.9625279707,0.9770986492,1,0.9625279707,0.9770986492,1,0.9996630458,0.9918214877,1,0.988881374,0.9770985346,1,0.9897425236,0.9918214877,1,0.9897425236,0.9770985346,1,0.9897425236,0.9770985346,1,0.9990899573,0.9918214877,1
C/C=C(\Oc1ccccc1)C(=O)O,CC[C@@H](Oc1ccccc1)C(=O)O,0.9254661938,0.3138500544,0,0.999997593,0.08274848622,0,0.9999999096,0.03679646927,0,0.9612507794,0.184615751,0,0.9612507794,0.184615751,0,0.9332622763,0.5936973094,1,0.9612507794,0.1846154428,0,0.9999971621,0.184615751,0,0.9999971621,0.5333681836,1,0.9999984805,0.184615751,0,0.9999971621,0.184615751,0,0.9999971621,0.184615751,0,0.999999817,0.5702015565,1
C=C(OC(=O)c1ccccc1)P(=O)(OC)OC,COP(=O)(OC)[C@H](C)OC(=O)c1ccccc1,0.98606761,0.3826705565,0,0.9996518522,0.9576344811,1,0.9749986882,0.2073018797,0,0.9657886254,0.9745265881,1,0.9679039599,0.9806655209,1,0.9999837375,0.9992735896,1,0.9657886254,0.9745265881,1,0.9924866143,0.9745265881,1,0.9924866143,0.9745265881,1,0.9783960928,0.9806655209,1,0.9783960928,0.9745265881,1,0.852655312,0.03002845789,0,0.9374250884,0.9745265881,1
CC1(C)OB(/C(=C/c2ccccc2)N2CCOC2=O)OC1(C)C,CC1(C)OB([C@@H](Cc2ccccc2)N2CCOC2=O)OC1(C)C,0.9997362837,0.5093348318,1,0.9605153579,0.8264644432,1,0.9992997281,0.7520879729,1,0.9881275849,0.9047891147,1,0.874358135,0.6506505119,1,0.5863621532,0.7298504512,1,0.9882677046,0.8965654237,1,0.9950818476,0.8965650429,1,0.997600278,0.6506505119,1,0.9996104847,0.8965650429,1,0.997600278,0.8965650429,1,0.997600278,0.06319606558,0,0.9999247935,0.8965650429,1
CON(C)C(=O)/C=C(\C)c1ccccc1,CON(C)C(=O)C[C@@H](C)c1ccccc1,0.9707804936,0.8054268882,1,0.6352215062,0.2835598047,0,0.6249093417,0.4078540306,0,0.9796329221,0.7607159898,1,0.8800515347,0.8809715072,1,0.7924801293,0.8584376424,1,0.8800515347,0.8809715072,1,0.9803816119,0.8809715072,1,0.9803816119,0.8809715072,1,0.9803816119,0.8809715072,1,0.9803816119,0.8809715072,1,0.9803816119,0.7607159898,1,0.6352215062,0.8809715072,1
CC(C)(C)OC(=O)N1CCCC/C(=C\c2ccccc2)C1=O,CC(C)(C)OC(=O)N1CCCC[C@@H](Cc2ccccc2)C1=O,0.3027023075,0.9080953241,1,0.9687441069,0.9822713349,1,0.7986779453,0.9609747362,1,0.9801888798,0.9728812136,1,0.9801888798,0.9728812136,1,0.9750328392,0.9590066332,1,0.9737850147,0.9744015127,1,0.9183152987,0.9728812136,1,0.9183152987,0.9728812136,1,0.829605614,0.9728812136,1,0.9493777656,0.9722253232,1,0.7479659216,0.9728812136,1,0.6974329444,0.9728812136,1
C=C(NC=O)C(=O)OC,COC(=O)[C@@H](C)NC=O,0.995,0.73882801,1,0.995,0.73882801,1,0.995,0.8309706524,1,0.995,0.73882801,1,0.995,0.9638863436,1,0.995,0.7388286265,1,0.995,0.9638864549,1,0.995,0.9638863436,1,0.995,0.9638863436,1,0.995,0.9638863436,1,0.995,0.9638863436,1,0.995,0.73882801,1,0.995,0.446696628,0
COc1ccc(/C=C(\C)CO)cc1,COc1ccc(C[C@@H](C)CO)cc1,0.9425895236,0.8490091951,1,0.9144777235,0.8125559722,1,0.9603422311,0.3329870051,0,0.9699995316,0.7842055687,1,0.965,0.9914957132,1,0.990467307,0.8685277983,1,0.9735070775,0.1823859714,0,0.9601522934,0.182385667,0,0.9743903836,0.9914957132,1,0.9525941199,0.9241615599,1,0.969936572,0.9241615599,1,0.9525941199,0.9905887885,1,0.975,0.9241615599,1
