Reactant,product,ee,nbo_charge,bond_energy,Vbur,L,B1,B5
[H]/C=C(\OC(=O)c1ccccc1)P(=O)(OC)OC,COP(=O)(OC)C(C)OC(=O)c1ccccc1,1,1.660625,-0.522285,0.6515619176,9.837806669,3.569835762,8.609417757
COC(=O)/C(=C/c1cccc(F)c1)NC(C)=O,COC(=O)[C@H](Cc1cccc(F)c1)NC(C)=O,1,1.486675,-0.444365,0.7218889769,11.50616514,3.658182778,6.978065174
COc1ccc(/C(C)=C/c2ccccc2)cc1,COc1ccc([C@H](C)Cc2ccccc2)cc1,1,1.82946,-0.51167,0.8443440179,8.87793396,3.895418697,7.982748504
COC(=O)/C(=C/c1ccc([N+](=O)[O-])c(O)c1)NC(=O)OCc1ccccc1,COC(=O)[C@@H](Cc1ccc([N+](=O)[O-])c(O)c1)NC(=O)OCc1ccccc1,1,1.47704,-0.46487,0.6832603429,7.267902927,4.363450227,6.897241857
COC(=O)/C(=C/c1ccc(Cl)cc1)NC(C)=O,COC(=O)[C@H](Cc1ccc(Cl)cc1)NC(C)=O,1,1.486675,-0.444365,0.7218889769,11.50616514,3.658182778,6.978065174
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC,1,1.8379,-0.54021,0.8319162318,7.045045674,2.47622535,8.233314833
C=C(NC(C)=O)c1ccc(Br)cc1,CC(=O)N[C@@H](C)c1ccc(Br)cc1,1,1.772905,-0.49445,0.8738643776,8.022991494,3.938254681,9.276934917
C=C(NC(C)=O)c1ccc([N+](=O)[O-])cc1,CC(=O)N[C@H](C)c1ccc([N+](=O)[O-])cc1,1,1.522825,-0.470795,0.6363562244,9.283497453,3.534725792,6.938908946
COc1cccc(/C=C(\Oc2ccccc2)C(=O)O)c1,COc1cccc(C[C@H](Oc2ccccc2)C(=O)O)c1,1,1.6177,-0.49298,0.7291220183,8.915081542,3.515328942,11.62153315
COP(=O)(OC)/C(=C/c1ccc(F)cc1)OC(=O)c1ccccc1,COP(=O)(OC)C(Cc1ccc(F)cc1)OC(=O)c1ccccc1,1,1.560625,-0.47559,0.6785547894,8.609057483,4.066448449,10.73151123
CO/C(=C\c1ccccc1C)C(=O)O,CO[C@@H](Cc1ccccc1C)C(=O)O,1,1.6228,-0.49493,0.7303158777,10.21388909,3.546088835,10.51236583
C=C(OC(=O)c1ccccc1)P(=O)(OC)OC,COP(=O)(OC)[C@H](C)OC(=O)c1ccccc1,1,1.49799,-0.443925,0.7034860697,11.69207203,3.754951741,7.338522126
